iter	RMSE
0	0.8186600647
1	0.774774406
2	0.7344869194
3	0.6980455048
4	0.6631665854
5	0.6300309415
6	0.6006208953
7	0.5727260233
8	0.5472126281
9	0.5235910027
10	0.5016996499
11	0.4811917571
12	0.4619614035
13	0.4446729908
14	0.4284563196
15	0.4132956346
16	0.3994220428
17	0.3869729082
18	0.3754465499
19	0.3647154971
20	0.354705145
21	0.3451232236
22	0.3367846604
23	0.3288726397
24	0.3207252802
25	0.3142824689
26	0.3083708753
27	0.3030696422
28	0.2979243696
29	0.2931572244
30	0.2878994092
31	0.2828975844
32	0.2784321217
33	0.2743305096
34	0.2707970448
35	0.2678321107
36	0.2647345519
37	0.262270185
38	0.2598037916
39	0.2570443669
40	0.2547178099
41	0.2521739951
42	0.2500990747
43	0.247896495
44	0.2460742216
45	0.2446175068
46	0.2427225397
47	0.2413600918
48	0.2399951782
49	0.2387217855
50	0.2376167699
51	0.2360505885
52	0.2344080558
53	0.23319713
54	0.2321362477
55	0.231271486
56	0.230137902
57	0.2291050252
58	0.2282399069
59	0.2272711806
60	0.226325553
61	0.2253847813
62	0.2245321246
63	0.2240165367
64	0.2231824411
65	0.2223736425
66	0.2214545321
67	0.2207504283
68	0.219980621
69	0.2194865808
70	0.2187240228
71	0.2180223207
72	0.2172593319
73	0.2166381726
74	0.2159511343
75	0.2147804665
76	0.2142967373
77	0.2138396309
78	0.2131279672
79	0.2123556936
80	0.2117640749
81	0.2114286654
82	0.2105314554
83	0.2097150121
84	0.2093784796
85	0.2088480084
86	0.2083317653
87	0.2080261161
88	0.2075772142
89	0.2069714307
90	0.2065023781
91	0.2061799297
92	0.2057771251
93	0.2054696695
94	0.2047138872
95	0.2044029224
96	0.2040345992
97	0.2036533962
98	0.2033777491
99	0.202839241
100	0.2024289028
101	0.2020584957
102	0.2016324043
103	0.2012218706
104	0.200876751
105	0.2003843599
106	0.1999256254
107	0.1996656586
108	0.1993263027
109	0.1989344134
110	0.1986122137
111	0.1981507351
112	0.1978347934
113	0.197348065
114	0.1971159906
115	0.196820432
116	0.1963486364
117	0.1960297438
118	0.1957671127
119	0.1954577285
120	0.1950983321
