iter	RMSE
121	0.194782877
122	0.1942839511
123	0.1940245837
124	0.1938126385
125	0.1935063045
126	0.1932344998
127	0.192918842
128	0.1924715791
129	0.1921950056
130	0.1918246279
131	0.1912935605
132	0.1909065671
133	0.1905936468
134	0.1903990473
135	0.1901525297
136	0.1898422042
137	0.1893875304
138	0.1889383304
139	0.1887071685
140	0.1884017239
141	0.1881095695
142	0.1877439065
143	0.1873078818
144	0.1868706221
145	0.186679394
146	0.1862747263
147	0.1860064211
148	0.1856426917
149	0.1854154048
150	0.1848726042
151	0.1846370494
152	0.1843874933
153	0.1840957266
154	0.1839185758
155	0.1837456246
156	0.1835021674
157	0.18309747
158	0.1828008878
159	0.1824351059
160	0.1822067194
161	0.1819924477
162	0.1816274297
163	0.1813323766
164	0.1811172932
165	0.1807607553
166	0.1804799916
167	0.1801228901
168	0.1798027709
169	0.1795311414
170	0.1792790577
171	0.1790194006
172	0.1787204602
173	0.1785463075
174	0.1783285989
175	0.1781693665
176	0.1778650054
177	0.177665277
178	0.1773658405
179	0.1771733101
180	0.1768663912
181	0.1766177668
182	0.1763929187
183	0.1761488002
184	0.1758577083
185	0.1756118814
186	0.1753392513
187	0.175156526
188	0.1749645374
189	0.1747209637
190	0.1745191392
191	0.1742914834
192	0.1741034182
193	0.1739811312
194	0.1736839284
195	0.173331668
196	0.1730632426
197	0.1728356413
198	0.1725765295
199	0.1723418732
200	0.1721861575
201	0.1720032987
202	0.1718038523
203	0.1716498027
204	0.1715293389
205	0.1713328117
206	0.1710481641
207	0.1708347379
208	0.1706927146
209	0.1704595578
210	0.1703350977
211	0.170133615
212	0.1699091591
213	0.1697089818
214	0.1695351944
215	0.1693563965
216	0.1692233529
217	0.1689860571
218	0.1687431063
219	0.168540398
220	0.168317867
221	0.1681392325
222	0.1679847509
223	0.1678067596
224	0.1675562547
225	0.1673548574
226	0.1672250243
227	0.1670591729
228	0.1669533798
229	0.1667401692
230	0.1665579817
231	0.1662786154
232	0.1660868193
233	0.165903539
234	0.1658007327
235	0.1656698794
236	0.1653980984
237	0.1651867843
238	0.1649971204
239	0.1647660196
240	0.1645172326
241	0.164362725
242	0.1641408318
243	0.1639508878
244	0.1637523702
245	0.16360198
246	0.1634147945
247	0.1632640679
248	0.1631229055
249	0.1629847964
250	0.1627973519
251	0.1626758694
252	0.162411673
253	0.1622884769
254	0.1621620319
255	0.1620394611
256	0.1618812376
257	0.1617761044
258	0.1616792318
259	0.1615197967
260	0.1613762817
261	0.1612254801
262	0.1610404088
263	0.1608992501
264	0.1606232042
265	0.1604630089
266	0.1603065704
267	0.1602033817
268	0.1600409593
269	0.1598312885
270	0.1596465585
271	0.159507795
272	0.1593753826
273	0.1591821615
274	0.1590932947
275	0.1588898613
276	0.1587735777
277	0.1586206235
278	0.1585152372
279	0.1583914494
280	0.1582487747
281	0.1580896049
282	0.1579643264
283	0.1578042239
284	0.1576011421
285	0.1573477394
286	0.1571879438
287	0.157057449
288	0.1569494379
289	0.1568263406
290	0.1566705439
291	0.1565677563
292	0.1564505967
293	0.1563134604
294	0.156083276
295	0.1559377057
296	0.1558360675
297	0.1557423575
298	0.1556185079
299	0.1555308178
300	0.1554061515
301	0.1553180429
302	0.1551890082
303	0.1550622154
304	0.1548877129
305	0.1547521071
306	0.1546729161
307	0.1545699137
308	0.1544559376
309	0.1542412204
310	0.1540848441
311	0.1539643577
312	0.1538306203
313	0.153656064
314	0.1534553863
315	0.1533195178
316	0.1531860572
317	0.1529707179
318	0.1528757715
319	0.1527416831
320	0.1526232212
321	0.1524899394
322	0.1523867331
323	0.1523083783
324	0.1521797693
325	0.1520804631
326	0.1519602868
327	0.151869476
328	0.15176184
329	0.1516817464
330	0.1516014626
331	0.1515004179
332	0.1513640861
333	0.1511850032
334	0.1510842209
335	0.1509745938
336	0.150878906
337	0.1507972988
338	0.1507083687
339	0.1505833763
340	0.1504225517
341	0.1503544676
342	0.1502295541
343	0.1501367697
344	0.150077612
345	0.1499447494
346	0.1498813619
347	0.1497842192
348	0.1496579004
349	0.1495537165
350	0.1494341169
351	0.1493287459
352	0.1492093876
353	0.1491401397
354	0.1490264426
355	0.1489650475
356	0.1489027466
357	0.1488297948
358	0.1487429826
359	0.1486204786
360	0.1484994803
361	0.1484453277
362	0.1483573937
363	0.1482592665
364	0.1481217964
365	0.1480376775
366	0.147888404
367	0.1477819882
368	0.1477207989
369	0.1476002517
370	0.1474602929
371	0.1473899448
372	0.1473027554
373	0.1472006392
374	0.1470836975
375	0.1469555736
376	0.1468115346
377	0.1467361603
378	0.1466252942
379	0.1465264106
380	0.1464133963
381	0.1463170166
382	0.1462360896
383	0.1461121382
384	0.1459920182
385	0.1458610242
386	0.1457569933
387	0.1456641632
388	0.1455686188
389	0.1454524302
390	0.1453792559
391	0.1452957519
392	0.1452153473
393	0.1451197243
394	0.1450493674
395	0.144937362
396	0.1448390909
397	0.1447664265
398	0.1446981161
399	0.144530799
400	0.1443868339
401	0.1443128903
402	0.1442253216
403	0.1441375578
404	0.1440784166
405	0.1439741509
406	0.1439037495
407	0.1438263099
408	0.143729136
409	0.1436514242
410	0.1435009005
411	0.1434377103
412	0.1433271426
413	0.1432197673
414	0.1431394402
415	0.1430441342
416	0.1429304488
417	0.142876335
418	0.1427645806
419	0.1426484661
420	0.142569787
421	0.1424908686
422	0.1424191231
423	0.1423432064
424	0.1422581284
425	0.142185733
426	0.1421102765
427	0.142011532
428	0.1419267905
429	0.141843962
430	0.1417391109
431	0.1416537164
432	0.1415876435
433	0.1415351869
434	0.1414271319
435	0.1413467311
436	0.1412689976
437	0.1412085463
438	0.1411375937
439	0.1410590145
440	0.1409445535
441	0.1408492897
442	0.1407531042
443	0.1406665617
444	0.1405576936
445	0.1404492605
446	0.1403697283
447	0.1403061975
448	0.1402295272
449	0.1401443935
450	0.140019009
451	0.1398955385
452	0.1398018115
453	0.1397403948
454	0.1396876426
455	0.1395998794
456	0.1395231211
457	0.1394688691
458	0.1393969469
459	0.1393077451
460	0.1392229932
461	0.139120962
462	0.1390234705
463	0.1389794917
464	0.1389247327
465	0.1388501638
466	0.138738254
467	0.1386703759
468	0.1385462411
469	0.1384847109
470	0.1384181292
471	0.1383284483
472	0.1382484826
473	0.138166692
474	0.1380946
475	0.1380036902
476	0.1379479922
477	0.1378842949
478	0.1378161345
479	0.1377400748
480	0.1376380828
481	0.1375636558
482	0.1374516945
483	0.1373933107
484	0.1373320794
485	0.1372638574
486	0.1372152195
487	0.1371499756
488	0.1370908928
489	0.137013097
490	0.1369621083
491	0.1369174869
492	0.1368355174
493	0.1367265584
494	0.1366143534
495	0.1365684072
496	0.1364906532
497	0.1364147611
498	0.1363446836
499	0.1362627162
500	0.1361673965
501	0.1360804647
502	0.1360154591
503	0.1359516745
504	0.1358515617
505	0.1357810577
506	0.1357088075
507	0.1356612992
508	0.1355861705
509	0.135505828
510	0.1354343005
511	0.1353807037
512	0.1353506581
513	0.1352910394
514	0.1352282001
515	0.1351668362
516	0.1350774184
517	0.1350376597
518	0.1349869776
519	0.1349340722
520	0.1348795682
521	0.1348171973
522	0.134758807
523	0.134691345
524	0.1346420097
525	0.1345611756
526	0.1344943409
527	0.134420601
528	0.1343797423
529	0.1343086916
530	0.1342558434
531	0.1342095764
532	0.1341507242
533	0.1340224139
534	0.1339705842
535	0.1338899119
536	0.1338147294
537	0.1337536609
538	0.133646974
539	0.1335743902
540	0.1334956309
541	0.1334123558
542	0.1333317618
543	0.1332619765
544	0.1331587905
545	0.1330828712
546	0.1330378977
547	0.1329684561
548	0.1329039528
549	0.1328102319
550	0.1327463546
551	0.1326825039
552	0.132620841
553	0.1325748234
554	0.1325206625
555	0.1324340898
556	0.1323914836
557	0.1323248231
558	0.1322366394
559	0.1321890344
560	0.1321498041
561	0.1321048151
562	0.1320573417
563	0.1319716688
564	0.1319100647
565	0.1318304542
566	0.1317699922
567	0.1317087922
568	0.1316699484
569	0.1316064267
570	0.1315537734
571	0.131507799
572	0.1314005624
573	0.1313671267
574	0.1313023369
575	0.1312403218
576	0.1311735372
577	0.1310845225
578	0.1310467516
579	0.1309957257
580	0.1308744487
581	0.1308180481
582	0.1307784208
583	0.1307341274
584	0.1306947018
585	0.1306009179
586	0.1305291937
587	0.1304555886
588	0.1303635766
589	0.1303007136
590	0.1302344823
591	0.13018583
592	0.1301414124
593	0.1300907954
594	0.1299956448
595	0.1299468221
596	0.1298719446
597	0.1298279569
598	0.1297818742
599	0.1297367233
600	0.1297003665
601	0.1296552224
602	0.1296296308
603	0.1295887619
604	0.1295445609
605	0.1294845752
606	0.1294180409
607	0.1293803694
608	0.1293242227
609	0.1292564163
610	0.1292027649
611	0.1291094047
612	0.1290520392
613	0.1289901436
614	0.1289443654
615	0.1288494185
616	0.1287937408
617	0.1287533752
618	0.128690831
619	0.1286152607
620	0.1285656959
621	0.1284980939
622	0.1284419256
623	0.1283974575
624	0.128350879
625	0.1283234677
626	0.1282665095
627	0.1282368189
628	0.1281683578
629	0.1280776796
630	0.1279940939
631	0.1279518799
632	0.1278941881
633	0.1278134815
634	0.1277598047
635	0.127684012
636	0.1276300269
637	0.1275703234
638	0.1275246756
639	0.1274699828
640	0.127434515
641	0.1274093239
642	0.1273637745
643	0.1273193517
644	0.1272361814
645	0.1271851467
646	0.1271452506
647	0.1270737051
648	0.1270406398
649	0.1269677259
650	0.1269125123
651	0.1268690504
652	0.126825904
653	0.1267470461
654	0.1266995571
655	0.1266479733
656	0.1265983877
657	0.1265428375
658	0.1264941752
659	0.1264284667
660	0.1263721538
661	0.1263399503
662	0.1262979884
663	0.1262567675
664	0.1262040188
665	0.1261318895
666	0.1260933369
667	0.1260230671
668	0.1259548566
669	0.1259104806
670	0.1258588485
671	0.1258130346
672	0.1257631872
673	0.1257063746
674	0.1256591137
675	0.1255977216
676	0.1255373684
677	0.1254822938
678	0.1254155662
679	0.1253464788
680	0.1252797141
681	0.1252259147
682	0.1251796216
683	0.1251463985
684	0.1251123473
685	0.1250624113
686	0.125018042
687	0.1249673976
688	0.1249437032
689	0.124892713
690	0.1248618771
691	0.1247840196
692	0.124718186
693	0.1246867269
694	0.1246435781
695	0.1245910088
696	0.1245594246
697	0.1245227898
698	0.1244547816
699	0.1244001777
700	0.1243685079
701	0.1243016216
702	0.1242583076
703	0.1242287962
704	0.1241874485
705	0.1241516222
706	0.1240908298
707	0.1240268832
708	0.1239844792
709	0.1239469496
710	0.1239065911
711	0.1238588529
712	0.1238282217
713	0.1237755893
714	0.1237165473
715	0.1236796592
716	0.1236452461
717	0.123605982
718	0.1235467847
719	0.1235117112
720	0.1234825212
721	0.1234168475
722	0.123365603
723	0.123308813
724	0.1232905669
725	0.1232462568
726	0.1231855096
727	0.1231373879
728	0.1230815195
729	0.1229942271
730	0.122935969
731	0.1228813752
732	0.1228370575
733	0.1228087109
734	0.1227556229
735	0.1226871422
736	0.1226642718
737	0.1226160452
738	0.1225684628
739	0.1225040196
740	0.1224225849
741	0.1224007479
742	0.1223384013
743	0.1222940211
744	0.1222507374
745	0.12219983
746	0.1221604637
747	0.1220952459
748	0.1220401123
749	0.1220134511
750	0.1219914304
751	0.1219699071
752	0.121929561
753	0.1218981922
754	0.1218577713
755	0.1218232517
756	0.1218046227
757	0.1217387961
758	0.1217040895
759	0.1216487453
760	0.1216046613
761	0.1215630232
762	0.1215159919
763	0.1214837273
764	0.1214454919
765	0.1214087685
766	0.1213648952
767	0.1213253947
768	0.1212678924
769	0.1212271649
770	0.1211934124
771	0.1211706967
772	0.1211243659
773	0.1210620728
774	0.1210253855
775	0.1209802992
776	0.120931954
777	0.120896013
778	0.1208568974
779	0.1208057928
780	0.1207663989
781	0.1207154592
782	0.1206543936
783	0.1206202086
784	0.12056652
785	0.1205275402
786	0.1204729089
787	0.1204543972
788	0.1204197432
789	0.1203926372
790	0.1203727718
791	0.1203374039
792	0.1202872934
793	0.1202449262
794	0.120219493
795	0.1201646207
796	0.1201183763
797	0.1200737474
798	0.1200233558
799	0.1199988294
800	0.1199245591
801	0.1198654379
802	0.1198337489
803	0.1197792665
804	0.1197557635
805	0.1197197307
806	0.1196826344
807	0.1196587008
808	0.1196044287
809	0.119567488
810	0.119519593
811	0.1194617567
812	0.1194159027
813	0.1193742833
814	0.11932202
815	0.1192872327
816	0.1192479739
817	0.1191772315
818	0.1191462897
819	0.1191025143
820	0.119073799
821	0.1190370175
822	0.1189782647
823	0.1189544757
824	0.1189307165
825	0.1189017374
826	0.1188814639
827	0.1188571161
828	0.1188102665
829	0.1187765682
830	0.1187513785
831	0.118720332
832	0.1187037038
833	0.1186628937
834	0.1186238986
835	0.1185837326
836	0.1185613322
837	0.1185139204
838	0.1184716634
839	0.1184122594
840	0.1183833831
841	0.1183291075
842	0.1182963073
843	0.118275617
844	0.1182510591
845	0.118192524
846	0.1181530543
847	0.1181200113
848	0.118097326
849	0.1180617728
850	0.1179961479
851	0.1179710734
852	0.1179444641
853	0.1179004766
854	0.1178500126
855	0.1177987093
856	0.1177591221
857	0.1177416086
858	0.1177077924
859	0.1176623666
860	0.1176199968
861	0.1175959571
862	0.1175779337
863	0.1175266399
864	0.1175008543
865	0.1174701023
866	0.1174360202
867	0.1173825505
868	0.1173350391
869	0.1172905008
870	0.1172327835
871	0.1171977345
872	0.1171484357
873	0.1170914734
874	0.1170500853
875	0.1170369601
876	0.1169994573
877	0.116971448
878	0.1169152278
879	0.1168783553
880	0.1168432014
881	0.1168027481
882	0.1167600935
883	0.1167147928
884	0.1166884407
885	0.1166344588
886	0.1166076031
887	0.1165569588
888	0.1164930904
889	0.1164592945
890	0.1164128026
891	0.1163947278
892	0.1163697943
893	0.1163199144
894	0.1162998364
895	0.1162286365
896	0.1161931814
897	0.1161692895
898	0.1161327046
899	0.1160889977
900	0.1160676503
901	0.1159904723
902	0.1159565158
903	0.1159242516
904	0.1158761057
905	0.1158412862
906	0.1157768333
907	0.1157522212
